model,split,average_precision,roc_auc,f1,precision,recall,brier_score,threshold,support,prevalence,tn,fp,fn,tp
persistence,valid,0.5660320355698668,0.6988999427844949,0.5697726259473919,0.9551569506726457,0.4059720457433291,0.1680862726406101,0.5,5245.0,0.30009532888465207,3641.0,30.0,935.0,639.0
persistence,test,0.6726012135113519,0.7363735969000242,0.644264943457189,0.9717348927875243,0.4818753020782987,0.19138677087304612,0.5,5246.0,0.394395730080061,3148.0,29.0,1072.0,997.0
logistic_regression,valid,0.8002618064090722,0.8710946437218531,0.6982833866744254,0.644122383252818,0.7623888182973316,0.13878619297434397,0.5,5245.0,0.30009532888465207,3008.0,663.0,374.0,1200.0
logistic_regression,test,0.8853373491397576,0.9106978581098771,0.7844311377245509,0.7492300923889134,0.8231029482841953,0.12373597136860816,0.5,5246.0,0.394395730080061,2607.0,570.0,366.0,1703.0
decision_tree,valid,0.7808994069826309,0.8593320634929424,0.7032297379646557,0.6756440281030445,0.7331639135959339,0.1420752589489271,0.5,5245.0,0.30009532888465207,3117.0,554.0,420.0,1154.0
decision_tree,test,0.8629164052152261,0.8864994942351633,0.7608641668736031,0.7824310520939735,0.7404543257612373,0.12786482248040412,0.5,5246.0,0.394395730080061,2751.0,426.0,537.0,1532.0
hist_gradient_boosting,valid,0.8225191696192921,0.8789113270432044,0.7063041529728115,0.6666666666666666,0.7509529860228716,0.13131727820650077,0.5,5245.0,0.30009532888465207,3080.0,591.0,392.0,1182.0
hist_gradient_boosting,test,0.9020075099286307,0.9179240045925791,0.7950760318609703,0.7941176470588235,0.7960367327211213,0.11145013313198292,0.5,5246.0,0.394395730080061,2750.0,427.0,422.0,1647.0
